file_name peak_id t r sid col
BD18_1411061813_ims.csv 54 0.60855 58.719 6 #5BCEBE
BD18_1411061813_ims.csv 53 0.60855 72.649 6 #9EE938
BD18_1411061813_ims.csv 56 1.03556 94.942 6 #91B26F
BD18_1411061813_ims.csv 71 1.07618 96.985 6 #3A5D16
BD18_1411061813_ims.csv 71 1.093 96.985 6 #3A5D16
BD18_1411061813_ims.csv 69 1.10461 96.003 6 #A7DC49
BD18_1411061813_ims.csv 34 1.05993 96.533 6 #D68295
BD18_1411061813_ims.csv 56 1.12201 95.472 6 #91B26F
BD18_1411061813_ims.csv 56 0.95956 95.472 6 #91B26F
BD18_1411061813_ims.csv 71 1.04601 96.985 6 #3A5D16
BD18_1411061813_ims.csv 56 0.96478 94.942 6 #91B26F
BD18_1411061813_ims.csv 71 1.10925 96.985 6 #3A5D16
BD18_1411061813_ims.csv 71 0.97987 96.985 6 #3A5D16
BD18_1411061813_ims.csv 56 0.9468 95.472 6 #91B26F
BD18_1411061813_ims.csv 34 1.10112 96.533 6 #D68295
BD18_1411061813_ims.csv 70 1.08488 97.516 6 #7CCE38
BD18_1411061813_ims.csv 70 1.03034 97.516 6 #7CCE38
BD18_1411061813_ims.csv 71 1.08836 96.985 6 #3A5D16
BD18_1411061813_ims.csv 77 0.90386 92.976 6 #31E0F7
BD18_1411061813_ims.csv 71 1.11505 96.985 6 #3A5D16
BD18_1411061813_ims.csv 56 1.14174 95.472 6 #91B26F
BD18_1411061813_ims.csv 56 1.02338 94.942 6 #91B26F
BD18_1411061813_ims.csv 56 1.06805 94.942 6 #91B26F
BD18_1411061813_ims.csv 70 0.95318 97.516 6 #7CCE38
BD18_1411061813_ims.csv 78 0.92475 100.979 6 #A9A22D
BD18_1411061813_ims.csv 37 0.88994 116.392 6 #12EB05
BD18_1411061813_ims.csv 85 0.60855 126.844 6 #2A43CB
BD18_1411061813_ims.csv 80 0.60797 103.475 6 #A95EEC
BD18_1411061800_ims.csv 1 0.47836 0 7 #B3D6C8
BD18_1411061800_ims.csv 1 0.5033 0 7 #B3D6C8
BD18_1411061800_ims.csv 6 0.60304 3.463 7 #B04473
BD18_1411061800_ims.csv 6 0.79441 3.463 7 #B04473
BD18_1411061800_ims.csv 8 0.58738 3.9 7 #9CC9CA
BD18_1411061800_ims.csv 6 0.63668 2.933 7 #B04473
BD18_1411061800_ims.csv 42 0.45285 5.507 7 #A1E50F
BD18_1411061800_ims.csv 5 0.69061 3.9 7 #45F6F8
BD18_1411061800_ims.csv 5 0.7109 3.9 7 #45F6F8
BD18_1411061800_ims.csv 12 0.57927 7.909 7 #7B2FD1
BD18_1411061800_ims.csv 74 0.49634 6.49 7 #ED8ECB
